小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	189	-9.1749	-60.002	91.643	573	2.1291e-002
0	203	-5.7331	-60.002	93.646	573	2.9751e-002
0	194	-8.2301	-60.002	94.492	573	2.6288e-002
1	382	23.987	-60.002	136.51	597	0.12096
1	383	24.097	-60.002	137.37	597	0.12202
1	378	23.626	-60.002	137.03	597	0.12115
2	362	21.427	-60.002	139.49	597	0.12162
2	378	23.626	-60.002	137.03	597	0.12115
2	383	24.097	-60.002	137.37	597	0.12202
2	385	24.368	-60.002	140.74	597	0.12608
3	137	-17.774	-60.002	144.12	611	8.2901e-002
3	138	-17.688	-60.002	143.98	611	8.2788e-002
3	136	-17.966	-60.002	143.93	611	8.237e-002
4	114	-20.441	-60.002	144.6	611	8.0464e-002
4	137	-17.774	-60.002	144.12	611	8.2901e-002
4	136	-17.966	-60.002	143.93	611	8.237e-002
5	114	-20.441	-60.002	144.6	611	8.0464e-002
5	136	-17.966	-60.002	143.93	611	8.237e-002
5	92	-22.932	-60.002	142.97	611	7.465e-002
6	114	-20.441	-60.002	144.6	611	8.0464e-002
6	92	-22.932	-60.002	142.97	611	7.465e-002
6	89	-23.386	-60.002	144.02	611	7.5783e-002
7	114	-20.441	-60.002	144.6	611	8.0464e-002
7	89	-23.386	-60.002	144.02	611	7.5783e-002
7	110	-21.274	-60.002	146.07	611	8.1845e-002
8	114	-20.441	-60.002	144.6	611	8.0464e-002
8	110	-21.274	-60.002	146.07	611	8.1845e-002
8	128	-19.315	-60.002	146.49	611	8.4932e-002
9	114	-20.441	-60.002	144.6	611	8.0464e-002
9	128	-19.315	-60.002	146.49	611	8.4932e-002
9	137	-17.774	-60.002	144.12	611	8.2901e-002
10	89	-23.386	-60.002	144.02	611	7.5783e-002
10	92	-22.932	-60.002	142.97	611	7.465e-002
10	77	-24.656	-60.002	142.62	611	7.1808e-002
11	110	-21.274	-60.002	146.07	611	8.1845e-002
11	120	-19.84	-60.002	147.3	611	8.5632e-002
11	128	-19.315	-60.002	146.49	611	8.4932e-002
12	260	6.6526	-60.002	147.08	613	0.11557
12	264	7.0831	-60.002	147.03	613	0.11597
