小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	135	-5.0197	-90.002	146.51	580	5.1783e-002
0	129	-7.53	-90.002	149.49	580	5.1149e-002
0	149	-2.2115	-90.002	150.32	580	5.8361e-002
1	55	-22.885	-90.002	100.04	647	-8.2715e-003
1	63	-21.217	-90.002	102.2	647	-4.4496e-003
1	37	-25.28	-90.002	103.92	647	-8.0288e-003
1	39	-25.257	-90.002	101.82	647	-9.7225e-003
2	21	-27.703	-90.002	101.55	647	-1.2953e-002
2	44	-24.757	-90.002	97.566	647	-1.2597e-002
2	55	-22.885	-90.002	100.04	647	-8.2715e-003
2	39	-25.257	-90.002	101.82	647	-9.7225e-003
3	37	-25.28	-90.002	103.92	647	-8.0288e-003
3	10	-30.011	-90.002	105.94	647	-1.2191e-002
3	21	-27.703	-90.002	101.55	647	-1.2953e-002
3	39	-25.257	-90.002	101.82	647	-9.7225e-003
4	32	-26.312	-90.002	123.11	656	6.4358e-003
4	14	-29.112	-90.002	125.85	656	5.2466e-003
4	8	-30.546	-90.002	123.5	656	1.5526e-003
4	12	-29.622	-90.002	120.92	656	5.7695e-004
5	4	-31.893	-90.002	128.58	656	4.067e-003
5	14	-29.112	-90.002	125.85	656	5.2466e-003
5	8	-30.546	-90.002	123.5	656	1.5526e-003
5	2	-32.767	-90.002	123.7	656	-1.0095e-003
6	2	-32.767	-90.002	123.7	656	-1.0095e-003
6	0	-32.887	-90.002	118.75	656	-5.217e-003
6	12	-29.622	-90.002	120.92	656	5.7695e-004
6	8	-30.546	-90.002	123.5	656	1.5526e-003
7	165	2.7109	-90.002	153.59	662	6.7088e-002
7	169	3.6719	-90.002	154.9	662	6.9347e-002
7	163	2.0246	-90.002	154.99	662	6.7399e-002
8	48	-23.809	-90.002	110.63	699	-7.2071e-004
8	18	-27.981	-90.002	114.05	699	-3.0401e-003
8	23	-27.343	-90.002	116.6	699	-1.703e-004
8	40	-25.213	-90.002	116.27	699	2.1802e-003
9	5	-31.752	-90.002	117.17	699	-5.1208e-003
9	18	-27.981	-90.002	114.05	699	-3.0401e-003
9	23	-27.343	-90.002	116.6	699	-1.703e-004
9	17	-28.584	-90.002	119.37	699	5.748e-004
10	36	-25.373	-90.002	121.58	699	6.3367e-003
10	40	-25.213	-90.002	116.27	699	2.1802e-003
10	23	-27.343	-90.002	116.6	699	-1.703e-004
10	17	-28.584	-90.002	119.37	699	5.748e-004
11	310	35.46	-90.002	116.52	839	7.6901e-002
11	314	36.682	-90.002	115.48	839	7.755e-002
11	315	36.909	-90.002	117.12	839	7.9168e-002
