小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	7.7258e-002
0	268	-1.0913	-120.	151.9	577	8.1609e-002
0	252	-3.9312	-120.	151.58	577	7.7032e-002
1	288	1.8045	-120.	154.98	577	8.8239e-002
1	267	-1.1343	-120.	154.83	577	8.3665e-002
1	276	-0.11815	-120.	152.95	577	8.3853e-002
2	243	-5.3928	-120.	154.18	577	7.6687e-002
2	248	-4.4252	-120.	152.47	577	7.692e-002
2	259	-2.4941	-120.	154.68	577	8.1483e-002
3	261	-2.1991	-120.	153.07	577	8.0763e-002
3	252	-3.9312	-120.	151.58	577	7.7032e-002
3	268	-1.0913	-120.	151.9	577	8.1609e-002
4	261	-2.1991	-120.	153.07	577	8.0763e-002
4	268	-1.0913	-120.	151.9	577	8.1609e-002
4	276	-0.11815	-120.	152.95	577	8.3853e-002
5	261	-2.1991	-120.	153.07	577	8.0763e-002
5	276	-0.11815	-120.	152.95	577	8.3853e-002
5	267	-1.1343	-120.	154.83	577	8.3665e-002
6	261	-2.1991	-120.	153.07	577	8.0763e-002
6	267	-1.1343	-120.	154.83	577	8.3665e-002
6	259	-2.4941	-120.	154.68	577	8.1483e-002
7	261	-2.1991	-120.	153.07	577	8.0763e-002
7	259	-2.4941	-120.	154.68	577	8.1483e-002
7	248	-4.4252	-120.	152.47	577	7.692e-002
8	261	-2.1991	-120.	153.07	577	8.0763e-002
8	248	-4.4252	-120.	152.47	577	7.692e-002
8	252	-3.9312	-120.	151.58	577	7.7032e-002
9	526	31.866	-120.	131.46	610	0.11855
9	510	30.864	-120.	134.14	610	0.11864
9	479	29.242	-120.	133.19	610	0.11568
10	564	34.544	-120.	132.9	610	0.12337
10	550	33.344	-120.	135.59	610	0.12317
10	522	31.71	-120.	134.63	610	0.12019
11	541	32.873	-120.	132.56	610	0.12069
11	564	34.544	-120.	132.9	610	0.12337
11	522	31.71	-120.	134.63	610	0.12019
12	541	32.873	-120.	132.56	610	0.12069
12	522	31.71	-120.	134.63	610	0.12019
12	510	30.864	-120.	134.14	610	0.11864
13	541	32.873	-120.	132.56	610	0.12069
13	510	30.864	-120.	134.14	610	0.11864
13	526	31.866	-120.	131.46	610	0.11855
14	541	32.873	-120.	132.56	610	0.12069
14	526	31.866	-120.	131.46	610	0.11855
14	546	33.229	-120.	130.57	610	0.12005
15	541	32.873	-120.	132.56	610	0.12069
15	546	33.229	-120.	130.57	610	0.12005
15	567	35.024	-120.	131.62	610	0.12333
16	541	32.873	-120.	132.56	610	0.12069
16	567	35.024	-120.	131.62	610	0.12333
16	564	34.544	-120.	132.9	610	0.12337
17	572	35.883	-120.	128.81	610	0.12298
17	567	35.024	-120.	131.62	610	0.12333
17	546	33.229	-120.	130.57	610	0.12005
18	109	-23.556	-120.	106.6	619	1.555e-002
18	124	-22.151	-120.	106.97	619	1.8132e-002
18	98	-24.934	-120.	108.56	619	1.456e-002
19	109	-23.556	-120.	106.6	619	1.555e-002
19	98	-24.934	-120.	108.56	619	1.456e-002
19	83	-25.781	-120.	108.08	619	1.2832e-002
20	109	-23.556	-120.	106.6	619	1.555e-002
20	83	-25.781	-120.	108.08	619	1.2832e-002
20	104	-24.368	-120.	105.63	619	1.3557e-002
21	109	-23.556	-120.	106.6	619	1.555e-002
21	104	-24.368	-120.	105.63	619	1.3557e-002
21	117	-22.763	-120.	104.8	619	1.5675e-002
22	109	-23.556	-120.	106.6	619	1.555e-002
22	117	-22.763	-120.	104.8	619	1.5675e-002
22	137	-21.34	-120.	105.57	619	1.855e-002
23	109	-23.556	-120.	106.6	619	1.555e-002
23	137	-21.34	-120.	105.57	619	1.855e-002
23	124	-22.151	-120.	106.97	619	1.8132e-002
24	104	-24.368	-120.	105.63	619	1.3557e-002
24	83	-25.781	-120.	108.08	619	1.2832e-002
24	55	-27.388	-120.	107.17	619	9.5547e-003
25	124	-22.151	-120.	106.97	619	1.8132e-002
25	112	-23.336	-120.	109.46	619	1.7814e-002
25	98	-24.934	-120.	108.56	619	1.456e-002
26	137	-21.34	-120.	105.57	619	1.855e-002
26	117	-22.763	-120.	104.8	619	1.5675e-002
26	151	-19.781	-120.	103.3	619	1.9643e-002
27	153	-19.369	-120.	98.573	622	1.7248e-002
27	139	-21.019	-120.	97.611	622	1.3899e-002
27	155	-18.865	-120.	95.735	622	1.6275e-002
28	110	-23.545	-120.	96.143	622	8.7746e-003
28	134	-21.451	-120.	94.077	622	1.0943e-002
28	126	-21.878	-120.	97.108	622	1.2154e-002
29	165	-18.085	-120.	91.387	622	1.4838e-002
29	161	-18.611	-120.	94.262	622	1.5766e-002
29	144	-20.419	-120.	93.178	622	1.2089e-002
30	145	-20.374	-120.	95.329	622	1.3518e-002
30	155	-18.865	-120.	95.735	622	1.6275e-002
30	139	-21.019	-120.	97.611	622	1.3899e-002
31	145	-20.374	-120.	95.329	622	1.3518e-002
31	139	-21.019	-120.	97.611	622	1.3899e-002
31	126	-21.878	-120.	97.108	622	1.2154e-002
32	145	-20.374	-120.	95.329	622	1.3518e-002
32	126	-21.878	-120.	97.108	622	1.2154e-002
32	134	-21.451	-120.	94.077	622	1.0943e-002
33	145	-20.374	-120.	95.329	622	1.3518e-002
33	134	-21.451	-120.	94.077	622	1.0943e-002
33	144	-20.419	-120.	93.178	622	1.2089e-002
34	145	-20.374	-120.	95.329	622	1.3518e-002
34	144	-20.419	-120.	93.178	622	1.2089e-002
34	161	-18.611	-120.	94.262	622	1.5766e-002
35	145	-20.374	-120.	95.329	622	1.3518e-002
35	161	-18.611	-120.	94.262	622	1.5766e-002
35	155	-18.865	-120.	95.735	622	1.6275e-002
36	285	1.3031	-120.	89.681	635	4.5593e-002
36	275	-0.15357	-120.	92.615	635	4.4916e-002
36	300	4.2195	-120.	92.615	635	5.1987e-002
37	80	-26.056	-120.	108.78	712	1.2842e-002
37	97	-24.934	-120.	108.56	712	1.456e-002
37	82	-25.781	-120.	108.08	712	1.2832e-002
38	43	-28.173	-120.	109.18	712	9.5842e-003
38	23	-29.748	-120.	110.74	712	8.0029e-003
38	7	-31.417	-120.	109.78	712	4.5805e-003
39	43	-28.173	-120.	109.18	712	9.5842e-003
39	7	-31.417	-120.	109.78	712	4.5805e-003
39	55	-27.388	-120.	107.17	712	9.5547e-003
40	43	-28.173	-120.	109.18	712	9.5842e-003
40	55	-27.388	-120.	107.17	712	9.5547e-003
40	82	-25.781	-120.	108.08	712	1.2832e-002
41	43	-28.173	-120.	109.18	712	9.5842e-003
41	82	-25.781	-120.	108.08	712	1.2832e-002
41	80	-26.056	-120.	108.78	712	1.2842e-002
42	43	-28.173	-120.	109.18	712	9.5842e-003
42	80	-26.056	-120.	108.78	712	1.2842e-002
42	36	-28.65	-120.	110.53	712	9.6912e-003
43	43	-28.173	-120.	109.18	712	9.5842e-003
43	36	-28.65	-120.	110.53	712	9.6912e-003
43	23	-29.748	-120.	110.74	712	8.0029e-003
44	32	-28.882	-120.	111.23	712	9.7722e-003
44	36	-28.65	-120.	110.53	712	9.6912e-003
44	23	-29.748	-120.	110.74	712	8.0029e-003
45	68	-26.514	-120.	110.12	712	1.2974e-002
45	61	-27.224	-120.	112.18	712	1.3165e-002
45	112	-23.336	-120.	109.46	712	1.7814e-002
46	68	-26.514	-120.	110.12	712	1.2974e-002
46	112	-23.336	-120.	109.46	712	1.7814e-002
46	97	-24.934	-120.	108.56	712	1.456e-002
47	68	-26.514	-120.	110.12	712	1.2974e-002
47	97	-24.934	-120.	108.56	712	1.456e-002
47	80	-26.056	-120.	108.78	712	1.2842e-002
48	68	-26.514	-120.	110.12	712	1.2974e-002
48	80	-26.056	-120.	108.78	712	1.2842e-002
48	36	-28.65	-120.	110.53	712	9.6912e-003
49	68	-26.514	-120.	110.12	712	1.2974e-002
49	36	-28.65	-120.	110.53	712	9.6912e-003
49	32	-28.882	-120.	111.23	712	9.7722e-003
50	68	-26.514	-120.	110.12	712	1.2974e-002
50	32	-28.882	-120.	111.23	712	9.7722e-003
50	61	-27.224	-120.	112.18	712	1.3165e-002
51	241	-5.7764	-120.	90.758	716	3.4697e-002
51	235	-6.5008	-120.	90.968	716	3.3641e-002
51	237	-6.2516	-120.	91.919	716	3.4613e-002
52	225	-8.3372	-120.	89.613	716	2.9826e-002
52	223	-8.5933	-120.	88.683	716	2.8848e-002
52	220	-9.0374	-120.	89.857	716	2.8822e-002
53	227	-7.8565	-120.	91.427	716	3.1702e-002
53	237	-6.2516	-120.	91.919	716	3.4613e-002
53	231	-7.1082	-120.	94.093	716	3.452e-002
54	227	-7.8565	-120.	91.427	716	3.1702e-002
54	231	-7.1082	-120.	94.093	716	3.452e-002
54	214	-9.904	-120.	92.112	716	2.8761e-002
55	227	-7.8565	-120.	91.427	716	3.1702e-002
55	214	-9.904	-120.	92.112	716	2.8761e-002
55	220	-9.0374	-120.	89.857	716	2.8822e-002
56	227	-7.8565	-120.	91.427	716	3.1702e-002
56	220	-9.0374	-120.	89.857	716	2.8822e-002
56	225	-8.3372	-120.	89.613	716	2.9826e-002
57	227	-7.8565	-120.	91.427	716	3.1702e-002
57	225	-8.3372	-120.	89.613	716	2.9826e-002
57	235	-6.5008	-120.	90.968	716	3.3641e-002
58	227	-7.8565	-120.	91.427	716	3.1702e-002
58	235	-6.5008	-120.	90.968	716	3.3641e-002
58	237	-6.2516	-120.	91.919	716	3.4613e-002
59	232	-6.9679	-120.	89.165	716	3.1804e-002
59	223	-8.5933	-120.	88.683	716	2.8848e-002
59	228	-7.7041	-120.	86.405	716	2.8952e-002
60	232	-6.9679	-120.	89.165	716	3.1804e-002
60	228	-7.7041	-120.	86.405	716	2.8952e-002
60	245	-4.8957	-120.	88.564	716	3.4837e-002
61	232	-6.9679	-120.	89.165	716	3.1804e-002
61	245	-4.8957	-120.	88.564	716	3.4837e-002
61	241	-5.7764	-120.	90.758	716	3.4697e-002
62	232	-6.9679	-120.	89.165	716	3.1804e-002
62	241	-5.7764	-120.	90.758	716	3.4697e-002
62	235	-6.5008	-120.	90.968	716	3.3641e-002
63	232	-6.9679	-120.	89.165	716	3.1804e-002
63	235	-6.5008	-120.	90.968	716	3.3641e-002
63	225	-8.3372	-120.	89.613	716	2.9826e-002
64	232	-6.9679	-120.	89.165	716	3.1804e-002
64	225	-8.3372	-120.	89.613	716	2.9826e-002
64	223	-8.5933	-120.	88.683	716	2.8848e-002
65	177	-15.833	-120.	140.87	735	5.0866e-002
65	169	-17.251	-120.	143.32	735	5.0425e-002
65	197	-12.295	-120.	143.44	735	5.8193e-002
66	1	-32.805	-120.	116.88	751	7.0673e-003
66	0	-32.924	-120.	121.19	751	9.8255e-003
66	16	-30.093	-120.	118.32	751	1.2537e-002
67	226	-8.113	-120.	150.47	765	6.9799e-002
67	218	-9.54	-120.	153.01	765	6.9466e-002
67	243	-5.3928	-120.	154.18	765	7.6687e-002
68	250	-4.0658	-120.	91.691	802	3.8032e-002
68	263	-2.0045	-120.	91.016	802	4.0983e-002
68	257	-2.8829	-120.	92.974	802	4.0707e-002
69	250	-4.0658	-120.	91.691	802	3.8032e-002
69	257	-2.8829	-120.	92.974	802	4.0707e-002
69	247	-4.4686	-120.	93.311	802	3.8336e-002
70	250	-4.0658	-120.	91.691	802	3.8032e-002
70	247	-4.4686	-120.	93.311	802	3.8336e-002
70	238	-6.2516	-120.	91.919	802	3.4613e-002
71	250	-4.0658	-120.	91.691	802	3.8032e-002
71	238	-6.2516	-120.	91.919	802	3.4613e-002
71	242	-5.7764	-120.	90.758	802	3.4697e-002
72	250	-4.0658	-120.	91.691	802	3.8032e-002
72	242	-5.7764	-120.	90.758	802	3.4697e-002
72	254	-3.011	-120.	90.17	802	3.8852e-002
