小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.10956
0	268	-1.0913	-120.	151.9	577	0.11003
0	252	-3.9312	-120.	151.58	577	0.10992
1	288	1.8045	-120.	154.98	577	0.11122
1	267	-1.1343	-120.	154.83	577	0.11092
1	276	-0.11815	-120.	152.95	577	0.11037
2	243	-5.3928	-120.	154.18	577	0.11038
2	248	-4.4252	-120.	152.47	577	0.11009
2	259	-2.4941	-120.	154.68	577	0.11076
3	261	-2.1991	-120.	153.07	577	0.11033
3	252	-3.9312	-120.	151.58	577	0.10992
3	268	-1.0913	-120.	151.9	577	0.11003
4	261	-2.1991	-120.	153.07	577	0.11033
4	268	-1.0913	-120.	151.9	577	0.11003
4	276	-0.11815	-120.	152.95	577	0.11037
5	261	-2.1991	-120.	153.07	577	0.11033
5	276	-0.11815	-120.	152.95	577	0.11037
5	267	-1.1343	-120.	154.83	577	0.11092
6	261	-2.1991	-120.	153.07	577	0.11033
6	267	-1.1343	-120.	154.83	577	0.11092
6	259	-2.4941	-120.	154.68	577	0.11076
7	261	-2.1991	-120.	153.07	577	0.11033
7	259	-2.4941	-120.	154.68	577	0.11076
7	248	-4.4252	-120.	152.47	577	0.11009
8	261	-2.1991	-120.	153.07	577	0.11033
8	248	-4.4252	-120.	152.47	577	0.11009
8	252	-3.9312	-120.	151.58	577	0.10992
9	526	31.866	-120.	131.46	610	0.10221
9	510	30.864	-120.	134.14	610	0.1024
9	479	29.242	-120.	133.19	610	0.10228
10	564	34.544	-120.	132.9	610	0.10233
10	550	33.344	-120.	135.59	610	0.10265
10	522	31.71	-120.	134.63	610	0.10247
11	541	32.873	-120.	132.56	610	0.10227
11	564	34.544	-120.	132.9	610	0.10233
11	522	31.71	-120.	134.63	610	0.10247
12	541	32.873	-120.	132.56	610	0.10227
12	522	31.71	-120.	134.63	610	0.10247
12	510	30.864	-120.	134.14	610	0.1024
13	541	32.873	-120.	132.56	610	0.10227
13	510	30.864	-120.	134.14	610	0.1024
13	526	31.866	-120.	131.46	610	0.10221
14	541	32.873	-120.	132.56	610	0.10227
14	526	31.866	-120.	131.46	610	0.10221
14	546	33.229	-120.	130.57	610	0.10223
15	541	32.873	-120.	132.56	610	0.10227
15	546	33.229	-120.	130.57	610	0.10223
15	567	35.024	-120.	131.62	610	0.10228
16	541	32.873	-120.	132.56	610	0.10227
16	567	35.024	-120.	131.62	610	0.10228
16	564	34.544	-120.	132.9	610	0.10233
17	572	35.883	-120.	128.81	610	0.10238
17	567	35.024	-120.	131.62	610	0.10228
17	546	33.229	-120.	130.57	610	0.10223
18	109	-23.556	-120.	106.6	619	0.12721
18	124	-22.151	-120.	106.97	619	0.12721
18	98	-24.934	-120.	108.56	619	0.12728
19	109	-23.556	-120.	106.6	619	0.12721
19	98	-24.934	-120.	108.56	619	0.12728
19	83	-25.781	-120.	108.08	619	0.12728
20	109	-23.556	-120.	106.6	619	0.12721
20	83	-25.781	-120.	108.08	619	0.12728
20	104	-24.368	-120.	105.63	619	0.12711
21	109	-23.556	-120.	106.6	619	0.12721
21	104	-24.368	-120.	105.63	619	0.12711
21	117	-22.763	-120.	104.8	619	0.127
22	109	-23.556	-120.	106.6	619	0.12721
22	117	-22.763	-120.	104.8	619	0.127
22	137	-21.34	-120.	105.57	619	0.12709
23	109	-23.556	-120.	106.6	619	0.12721
23	137	-21.34	-120.	105.57	619	0.12709
23	124	-22.151	-120.	106.97	619	0.12721
24	104	-24.368	-120.	105.63	619	0.12711
24	83	-25.781	-120.	108.08	619	0.12728
24	55	-27.388	-120.	107.17	619	0.12724
25	124	-22.151	-120.	106.97	619	0.12721
25	112	-23.336	-120.	109.46	619	0.12721
25	98	-24.934	-120.	108.56	619	0.12728
26	137	-21.34	-120.	105.57	619	0.12709
26	117	-22.763	-120.	104.8	619	0.127
26	151	-19.781	-120.	103.3	619	0.12672
27	153	-19.369	-120.	98.573	622	0.12509
27	139	-21.019	-120.	97.611	622	0.12467
27	155	-18.865	-120.	95.735	622	0.12371
28	110	-23.545	-120.	96.143	622	0.124
28	134	-21.451	-120.	94.077	622	0.12287
28	126	-21.878	-120.	97.108	622	0.12445
29	165	-18.085	-120.	91.387	622	0.1212
29	161	-18.611	-120.	94.262	622	0.12291
29	144	-20.419	-120.	93.178	622	0.12234
30	145	-20.374	-120.	95.329	622	0.12352
30	155	-18.865	-120.	95.735	622	0.12371
30	139	-21.019	-120.	97.611	622	0.12467
31	145	-20.374	-120.	95.329	622	0.12352
31	139	-21.019	-120.	97.611	622	0.12467
31	126	-21.878	-120.	97.108	622	0.12445
32	145	-20.374	-120.	95.329	622	0.12352
32	126	-21.878	-120.	97.108	622	0.12445
32	134	-21.451	-120.	94.077	622	0.12287
33	145	-20.374	-120.	95.329	622	0.12352
33	134	-21.451	-120.	94.077	622	0.12287
33	144	-20.419	-120.	93.178	622	0.12234
34	145	-20.374	-120.	95.329	622	0.12352
34	144	-20.419	-120.	93.178	622	0.12234
34	161	-18.611	-120.	94.262	622	0.12291
35	145	-20.374	-120.	95.329	622	0.12352
35	161	-18.611	-120.	94.262	622	0.12291
35	155	-18.865	-120.	95.735	622	0.12371
36	285	1.3031	-120.	89.681	635	0.11978
36	275	-0.15357	-120.	92.615	635	0.12119
36	300	4.2195	-120.	92.615	635	0.12053
37	80	-26.056	-120.	108.78	712	0.12728
37	97	-24.934	-120.	108.56	712	0.12728
37	82	-25.781	-120.	108.08	712	0.12728
38	43	-28.173	-120.	109.18	712	0.12727
38	23	-29.748	-120.	110.74	712	0.12715
38	7	-31.417	-120.	109.78	712	0.12717
39	43	-28.173	-120.	109.18	712	0.12727
39	7	-31.417	-120.	109.78	712	0.12717
39	55	-27.388	-120.	107.17	712	0.12724
40	43	-28.173	-120.	109.18	712	0.12727
40	55	-27.388	-120.	107.17	712	0.12724
40	82	-25.781	-120.	108.08	712	0.12728
41	43	-28.173	-120.	109.18	712	0.12727
41	82	-25.781	-120.	108.08	712	0.12728
41	80	-26.056	-120.	108.78	712	0.12728
42	43	-28.173	-120.	109.18	712	0.12727
