小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	189	-9.1749	-60.002	91.643	3237	1.5132e-002
0	203	-5.7331	-60.002	93.646	3237	2.2542e-002
0	194	-8.2301	-60.002	94.492	3237	1.9523e-002
1	382	23.987	-60.002	136.51	3261	0.1085
1	383	24.097	-60.002	137.37	3261	0.10952
1	378	23.626	-60.002	137.03	3261	0.10858
2	362	21.427	-60.002	139.49	3261	0.10837
2	378	23.626	-60.002	137.03	3261	0.10858
2	383	24.097	-60.002	137.37	3261	0.10952
2	385	24.368	-60.002	140.74	3261	0.11333
3	137	-17.774	-60.002	144.12	3275	6.1901e-002
3	138	-17.688	-60.002	143.98	3275	6.1854e-002
3	136	-17.966	-60.002	143.93	3275	6.1408e-002
4	114	-20.441	-60.002	144.6	3275	5.8842e-002
4	137	-17.774	-60.002	144.12	3275	6.1901e-002
4	136	-17.966	-60.002	143.93	3275	6.1408e-002
5	114	-20.441	-60.002	144.6	3275	5.8842e-002
5	136	-17.966	-60.002	143.93	3275	6.1408e-002
5	92	-22.932	-60.002	142.97	3275	5.336e-002
6	114	-20.441	-60.002	144.6	3275	5.8842e-002
6	92	-22.932	-60.002	142.97	3275	5.336e-002
6	89	-23.386	-60.002	144.02	3275	5.4023e-002
7	114	-20.441	-60.002	144.6	3275	5.8842e-002
7	89	-23.386	-60.002	144.02	3275	5.4023e-002
7	110	-21.274	-60.002	146.07	3275	5.9519e-002
8	114	-20.441	-60.002	144.6	3275	5.8842e-002
8	110	-21.274	-60.002	146.07	3275	5.9519e-002
8	128	-19.315	-60.002	146.49	3275	6.2735e-002
9	114	-20.441	-60.002	144.6	3275	5.8842e-002
9	128	-19.315	-60.002	146.49	3275	6.2735e-002
9	137	-17.774	-60.002	144.12	3275	6.1901e-002
10	89	-23.386	-60.002	144.02	3275	5.4023e-002
10	92	-22.932	-60.002	142.97	3275	5.336e-002
10	77	-24.656	-60.002	142.62	3275	5.0494e-002
11	110	-21.274	-60.002	146.07	3275	5.9519e-002
11	120	-19.84	-60.002	147.3	3275	6.3026e-002
11	128	-19.315	-60.002	146.49	3275	6.2735e-002
12	260	6.6526	-60.002	147.08	3277	9.7979e-002
12	264	7.0831	-60.002	147.03	3277	9.8477e-002
12	265	7.1368	-60.002	147.37	3277	9.8935e-002
13	290	10.85	-60.002	149.26	3277	0.10577
13	295	11.279	-60.002	145.9	3277	0.10253
13	264	7.0831	-60.002	147.03	3277	9.8477e-002
13	265	7.1368	-60.002	147.37	3277	9.8935e-002
14	481	33.471	-60.002	120.3	3290	0.10401
14	462	31.738	-60.002	118.18	3290	9.9763e-002
14	460	31.64	-60.002	121.73	3290	0.10311
15	481	33.471	-60.002	120.3	3290	0.10401
15	460	31.64	-60.002	121.73	3290	0.10311
15	485	33.658	-60.002	122.76	3290	0.10665
16	481	33.471	-60.002	120.3	3290	0.10401
16	485	33.658	-60.002	122.76	3290	0.10665
16	497	34.994	-60.002	120.83	3290	0.10645
17	481	33.471	-60.002	120.3	3290	0.10401
17	497	34.994	-60.002	120.83	3290	0.10645
17	498	35.008	-60.002	120.34	3290	0.10598
18	481	33.471	-60.002	120.3	3290	0.10401
18	498	35.008	-60.002	120.34	3290	0.10598
18	488	33.791	-60.002	117.95	3290	0.10214
19	481	33.471	-60.002	120.3	3290	0.10401
19	488	33.791	-60.002	117.95	3290	0.10214
19	462	31.738	-60.002	118.18	3290	9.9763e-002
20	504	36.918	-60.002	122.44	3290	0.11041
20	506	36.999	-60.002	119.49	3290	0.10767
20	498	35.008	-60.002	120.34	3290	0.10598
20	497	34.994	-60.002	120.83	3290	0.10645
