0,1,2,3,4,5,6
0,256,-2.9777,-120.,149.89,3241,0.10208
0,268,-1.0913,-120.,151.9,3241,0.10231
0,252,-3.9312,-120.,151.58,3241,0.10226
1,288,1.8045,-120.,154.98,3241,0.10287
1,267,-1.1343,-120.,154.83,3241,0.10274
1,276,-0.11815,-120.,152.95,3241,0.10248
2,243,-5.3928,-120.,154.18,3241,0.10249
2,248,-4.4252,-120.,152.47,3241,0.10234
2,259,-2.4941,-120.,154.68,3241,0.10267
3,261,-2.1991,-120.,153.07,3241,0.10246
3,252,-3.9312,-120.,151.58,3241,0.10226
3,268,-1.0913,-120.,151.9,3241,0.10231
4,261,-2.1991,-120.,153.07,3241,0.10246
4,268,-1.0913,-120.,151.9,3241,0.10231
4,276,-0.11815,-120.,152.95,3241,0.10248
5,261,-2.1991,-120.,153.07,3241,0.10246
5,276,-0.11815,-120.,152.95,3241,0.10248
5,267,-1.1343,-120.,154.83,3241,0.10274
6,261,-2.1991,-120.,153.07,3241,0.10246
6,267,-1.1343,-120.,154.83,3241,0.10274
6,259,-2.4941,-120.,154.68,3241,0.10267
7,261,-2.1991,-120.,153.07,3241,0.10246
7,259,-2.4941,-120.,154.68,3241,0.10267
7,248,-4.4252,-120.,152.47,3241,0.10234
8,261,-2.1991,-120.,153.07,3241,0.10246
8,248,-4.4252,-120.,152.47,3241,0.10234
8,252,-3.9312,-120.,151.58,3241,0.10226
9,526,31.866,-120.,131.46,3274,9.9109e-002
9,510,30.864,-120.,134.14,3274,9.9125e-002
9,479,29.242,-120.,133.19,3274,9.9097e-002
10,564,34.544,-120.,132.9,3274,9.9126e-002
10,550,33.344,-120.,135.59,3274,9.9202e-002
10,522,31.71,-120.,134.63,3274,9.9147e-002
11,541,32.873,-120.,132.56,3274,9.911e-002
11,564,34.544,-120.,132.9,3274,9.9126e-002
11,522,31.71,-120.,134.63,3274,9.9147e-002
12,541,32.873,-120.,132.56,3274,9.911e-002
12,522,31.71,-120.,134.63,3274,9.9147e-002
12,510,30.864,-120.,134.14,3274,9.9125e-002
13,541,32.873,-120.,132.56,3274,9.911e-002
13,510,30.864,-120.,134.14,3274,9.9125e-002
13,526,31.866,-120.,131.46,3274,9.9109e-002
14,541,32.873,-120.,132.56,3274,9.911e-002
14,526,31.866,-120.,131.46,3274,9.9109e-002
14,546,33.229,-120.,130.57,3274,9.9141e-002
15,541,32.873,-120.,132.56,3274,9.911e-002
15,546,33.229,-120.,130.57,3274,9.9141e-002
15,567,35.024,-120.,131.62,3274,9.9136e-002
16,541,32.873,-120.,132.56,3274,9.911e-002
16,567,35.024,-120.,131.62,3274,9.9136e-002
16,564,34.544,-120.,132.9,3274,9.9126e-002
17,572,35.883,-120.,128.81,3274,9.9255e-002
17,567,35.024,-120.,131.62,3274,9.9136e-002
17,546,33.229,-120.,130.57,3274,9.9141e-002
18,109,-23.556,-120.,106.6,3283,0.11009
18,124,-22.151,-120.,106.97,3283,0.11008
18,98,-24.934,-120.,108.56,3283,0.11009
19,109,-23.556,-120.,106.6,3283,0.11009
19,98,-24.934,-120.,108.56,3283,0.11009
19,83,-25.781,-120.,108.08,3283,0.1101
20,109,-23.556,-120.,106.6,3283,0.11009
20,83,-25.781,-120.,108.08,3283,0.1101
20,104,-24.368,-120.,105.63,3283,0.11006
21,109,-23.556,-120.,106.6,3283,0.11009
21,104,-24.368,-120.,105.63,3283,0.11006
21,117,-22.763,-120.,104.8,3283,0.11003
22,109,-23.556,-120.,106.6,3283,0.11009
22,117,-22.763,-120.,104.8,3283,0.11003
22,137,-21.34,-120.,105.57,3283,0.11005
23,109,-23.556,-120.,106.6,3283,0.11009
23,137,-21.34,-120.,105.57,3283,0.11005
23,124,-22.151,-120.,106.97,3283,0.11008
24,104,-24.368,-120.,105.63,3283,0.11006
24,83,-25.781,-120.,108.08,3283,0.1101
24,55,-27.388,-120.,107.17,3283,0.11009
25,124,-22.151,-120.,106.97,3283,0.11008
25,112,-23.336,-120.,109.46,3283,0.11005
25,98,-24.934,-120.,108.56,3283,0.11009
26,137,-21.34,-120.,105.57,3283,0.11005
26,117,-22.763,-120.,104.8,3283,0.11003
26,151,-19.781,-120.,103.3,3283,0.10993
27,153,-19.369,-120.,98.573,3286,0.10929
27,139,-21.019,-120.,97.611,3286,0.10912
27,155,-18.865,-120.,95.735,3286,0.10873
28,110,-23.545,-120.,96.143,3286,0.10885
28,134,-21.451,-120.,94.077,3286,0.10838
28,126,-21.878,-120.,97.108,3286,0.10903
29,165,-18.085,-120.,91.387,3286,0.10769
29,161,-18.611,-120.,94.262,3286,0.1084
29,144,-20.419,-120.,93.178,3286,0.10816
30,145,-20.374,-120.,95.329,3286,0.10865
30,155,-18.865,-120.,95.735,3286,0.10873
30,139,-21.019,-120.,97.611,3286,0.10912
31,145,-20.374,-120.,95.329,3286,0.10865
31,139,-21.019,-120.,97.611,3286,0.10912
31,126,-21.878,-120.,97.108,3286,0.10903
32,145,-20.374,-120.,95.329,3286,0.10865
32,126,-21.878,-120.,97.108,3286,0.10903
32,134,-21.451,-120.,94.077,3286,0.10838
33,145,-20.374,-120.,95.329,3286,0.10865
33,134,-21.451,-120.,94.077,3286,0.10838
33,144,-20.419,-120.,93.178,3286,0.10816
34,145,-20.374,-120.,95.329,3286,0.10865
