小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	-1.5054e-014
0	268	-1.0913	-120.	151.9	577	-1.5215e-014
0	252	-3.9312	-120.	151.58	577	-1.5191e-014
1	288	1.8045	-120.	154.98	577	-1.5447e-014
1	267	-1.1343	-120.	154.83	577	-1.5445e-014
1	276	-0.11815	-120.	152.95	577	-1.5296e-014
2	243	-5.3928	-120.	154.18	577	-1.5402e-014
2	248	-4.4252	-120.	152.47	577	-1.5263e-014
2	259	-2.4941	-120.	154.68	577	-1.5436e-014
3	261	-2.1991	-120.	153.07	577	-1.5309e-014
3	252	-3.9312	-120.	151.58	577	-1.5191e-014
3	268	-1.0913	-120.	151.9	577	-1.5215e-014
4	261	-2.1991	-120.	153.07	577	-1.5309e-014
4	268	-1.0913	-120.	151.9	577	-1.5215e-014
4	276	-0.11815	-120.	152.95	577	-1.5296e-014
5	261	-2.1991	-120.	153.07	577	-1.5309e-014
5	276	-0.11815	-120.	152.95	577	-1.5296e-014
5	267	-1.1343	-120.	154.83	577	-1.5445e-014
6	261	-2.1991	-120.	153.07	577	-1.5309e-014
6	267	-1.1343	-120.	154.83	577	-1.5445e-014
6	259	-2.4941	-120.	154.68	577	-1.5436e-014
7	261	-2.1991	-120.	153.07	577	-1.5309e-014
7	259	-2.4941	-120.	154.68	577	-1.5436e-014
7	248	-4.4252	-120.	152.47	577	-1.5263e-014
8	261	-2.1991	-120.	153.07	577	-1.5309e-014
8	248	-4.4252	-120.	152.47	577	-1.5263e-014
8	252	-3.9312	-120.	151.58	577	-1.5191e-014
9	526	31.866	-120.	131.46	610	-1.4226e-014
9	510	30.864	-120.	134.14	610	-1.4334e-014
9	479	29.242	-120.	133.19	610	-1.4295e-014
10	564	34.544	-120.	132.9	610	-1.4285e-014
10	550	33.344	-120.	135.59	610	-1.4393e-014
10	522	31.71	-120.	134.63	610	-1.4354e-014
11	541	32.873	-120.	132.56	610	-1.427e-014
11	564	34.544	-120.	132.9	610	-1.4285e-014
11	522	31.71	-120.	134.63	610	-1.4354e-014
12	541	32.873	-120.	132.56	610	-1.427e-014
12	522	31.71	-120.	134.63	610	-1.4354e-014
12	510	30.864	-120.	134.14	610	-1.4334e-014
13	541	32.873	-120.	132.56	610	-1.427e-014
13	510	30.864	-120.	134.14	610	-1.4334e-014
13	526	31.866	-120.	131.46	610	-1.4226e-014
14	541	32.873	-120.	132.56	610	-1.427e-014
14	526	31.866	-120.	131.46	610	-1.4226e-014
